512,72.20
1024,48.02
1536,32.57
2048,24.53
2560,19.43
3072,16.61
3584,14.26
4096,12.54
4608,11.15
5120,10.04
5632,9.13
6144,8.45
6656,7.82
7168,8.02
7680,8.43
8192,7.95
8704,7.29
9216,7.49
9728,8.10
10240,11.58
10752,14.41
11264,16.42
11776,18.00
12288,20.48
12800,22.34
13312,25.21
13824,27.37
14336,33.13
14848,37.66
15360,43.36
15872,47.00
16384,48.58
16896,53.07
17408,55.48
17920,57.67
18432,60.91
18944,64.53
19456,68.38
19968,69.98
20480,73.30
20992,76.51
21504,78.79
22016,82.75
22528,84.95
23040,86.42
23552,88.41
24064,90.55
24576,91.90
25088,92.82
25600,93.02
26112,93.61
26624,94.69
27136,95.42
27648,96.34
28160,97.14
28672,97.56
29184,98.31
29696,98.73
30208,99.12
30720,99.42
31232,99.78
31744,99.80
32256,100.16
32768,100.47
33280,100.56
33792,100.57
34304,100.74
34816,100.85
35328,100.86
35840,101.01
36352,100.91
36864,101.03
37376,101.01
37888,101.02
38400,101.11
38912,100.96
39424,100.95
39936,101.01
40448,101.11
40960,101.09
41472,101.08
41984,101.14
42496,101.14
43008,101.04
43520,101.15
44032,101.06
44544,101.12
45056,101.03
45568,101.06
46080,101.05
46592,101.07
47104,101.04
47616,101.11
48128,101.10
48640,101.14
49152,101.03
49664,101.12
50176,101.09
50688,101.11
51200,101.12
51712,101.07
52224,101.18
52736,101.19
53248,101.17
53760,101.14
54272,101.17
54784,101.21
